ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-08-07,650391.3107021485,642465.0838903675,729238.1690787947,650391.3107021485,650391.3107021485,36697.998149705156,36697.998149705156,36697.998149705156,23317.673015857155,23317.673015857155,23317.673015857155,13380.325133848,13380.325133848,13380.325133848,0.0,0.0,0.0,687089.3088518536
2020-08-08,650486.8346447841,573677.1308567674,658539.3791880638,650486.8346447841,650486.8346447841,-36245.01528112003,-36245.01528112003,-36245.01528112003,-46963.30312776439,-46963.30312776439,-46963.30312776439,10718.28784664435,10718.28784664435,10718.28784664435,0.0,0.0,0.0,614241.819363664
2020-08-09,650582.3585874197,528859.1614792077,614548.5301259148,650582.3585874197,650582.3585874197,-78662.66150436619,-78662.66150436619,-78662.66150436619,-87056.15761392478,-87056.15761392478,-87056.15761392478,8393.496109558582,8393.496109558582,8393.496109558582,0.0,0.0,0.0,571919.6970830535
2020-08-10,650677.8825300555,626813.547018587,711167.4195576698,650677.8825300555,650677.8825300555,21045.413263843337,21045.413263843337,21045.413263843337,14620.829564793217,14620.829564793217,14620.829564793217,6424.58369905012,6424.58369905012,6424.58369905012,0.0,0.0,0.0,671723.2957938989
2020-08-11,650773.406472691,644162.3929800981,727471.8525212104,650773.406472691,650773.406472691,35798.21072469868,35798.21072469868,35798.21072469868,30976.365840424005,30976.365840424005,30976.365840424005,4821.844884274676,4821.844884274676,4821.844884274676,0.0,0.0,0.0,686571.6171973897
2020-08-12,650868.9304153267,644420.5332384546,728176.77902589,650868.9304153267,650868.9304153267,36748.8942553244,36748.8942553244,36748.8942553244,33161.68636378984,33161.68636378984,33161.68636378984,3587.2078915345637,3587.2078915345637,3587.2078915345637,0.0,0.0,0.0,687617.8246706511
2020-08-13,650964.4543579625,644408.3934192089,727816.1500219578,650964.4543579625,650964.4543579625,34657.31557156776,34657.31557156776,34657.31557156776,31942.905956725735,31942.905956725735,31942.905956725735,2714.4096148420235,2714.4096148420235,2714.4096148420235,0.0,0.0,0.0,685621.7699295302
2020-08-14,651059.9783005981,633373.3973225533,718115.6194590278,651059.9783005981,651059.9783005981,25507.036734167243,25507.036734167243,25507.036734167243,23317.673016106095,23317.673016106095,23317.673016106095,2189.3637180611477,2189.3637180611477,2189.3637180611477,0.0,0.0,0.0,676567.0150347654
2020-08-15,651155.5022432337,564476.2946470096,651234.656379649,651155.5022432337,651155.5022432337,-44972.59385228941,-44972.59385228941,-44972.59385228941,-46963.30312780392,-46963.30312780392,-46963.30312780392,1990.7092755145193,1990.7092755145193,1990.7092755145193,0.0,0.0,0.0,606182.9083909444
2020-08-16,651251.0261858694,521390.7884129556,607013.7016106221,651251.0261858694,651251.0261858694,-84965.63509878532,-84965.63509878532,-84965.63509878532,-87056.15761385794,-87056.15761385794,-87056.15761385794,2090.5225150726205,2090.5225150726205,2090.5225150726205,0.0,0.0,0.0,566285.3910870841
2020-08-17,651346.5501285051,623793.8244002509,710974.5254136029,651346.5501285051,651346.5501285051,17075.999748151284,17075.999748151284,17075.999748151284,14620.829564855281,14620.829564855281,14620.829564855281,2455.1701832960052,2455.1701832960052,2455.1701832960052,0.0,0.0,0.0,668422.5498766564
2020-08-18,651442.0740711407,643715.2314216505,728245.3855563501,651442.0740711407,651442.0740711407,34022.64549471489,34022.64549471489,34022.64549471489,30976.365840445418,30976.365840445418,30976.365840445418,3046.279654269473,3046.279654269473,3046.279654269473,0.0,0.0,0.0,685464.7195658556
2020-08-19,651537.5980137764,646864.5896015125,730294.3406986123,651537.5980137764,651537.5980137764,36983.48460343086,36983.48460343086,36983.48460343086,33161.686363766494,33161.686363766494,33161.686363766494,3821.798239664364,3821.798239664364,3821.798239664364,0.0,0.0,0.0,688521.0826172072
2020-08-20,651633.1219564121,646889.7134693308,731071.1055332731,651633.1219564121,651633.1219564121,36680.01824988469,36680.01824988469,36680.01824988469,31942.90595684913,31942.90595684913,31942.90595684913,4737.112293035561,4737.112293035561,4737.112293035561,0.0,0.0,0.0,688313.1402062968
2020-08-21,651728.6458990477,638650.3475811878,723458.2686441633,651728.6458990477,651728.6458990477,29063.86869492066,29063.86869492066,29063.86869492066,23317.67301595467,23317.67301595467,23317.67301595467,5746.195678965996,5746.195678965996,5746.195678965996,0.0,0.0,0.0,680792.5145939684
2020-08-22,651824.1698416834,565666.9246450856,651927.0021807676,651824.1698416834,651824.1698416834,-40160.54611336372,-40160.54611336372,-40160.54611336372,-46963.303127919295,-46963.303127919295,-46963.303127919295,6802.757014555561,6802.757014555561,6802.757014555561,0.0,0.0,0.0,611663.6237283197
2020-08-23,651919.693784319,530963.1239081434,613947.6533068649,651919.693784319,651919.693784319,-79194.80183311626,-79194.80183311626,-79194.80183311626,-87056.15761383667,-87056.15761383667,-87056.15761383667,7861.355780720404,7861.355780720404,7861.355780720404,0.0,0.0,0.0,572724.8919512028
2020-08-24,652015.2177269547,633803.9392440071,717170.4671611286,652015.2177269547,652015.2177269547,23499.28847533845,23499.28847533845,23499.28847533845,14620.829564577129,14620.829564577129,14620.829564577129,8878.458910761317,8878.458910761317,8878.458910761317,0.0,0.0,0.0,675514.5062022932
2020-08-25,652110.7416695904,651696.9587593919,737117.3329195116,652110.7416695904,652110.7416695904,40789.7775803884,40789.7775803884,40789.7775803884,30976.365840415943,30976.365840415943,30976.365840415943,9813.411739972458,9813.411739972458,9813.411739972458,0.0,0.0,0.0,692900.5192499787
2020-08-26,652206.265612226,652214.0027120364,738158.4712865946,652206.265612226,652206.265612226,43790.98652916001,43790.98652916001,43790.98652916001,33161.68636374313,33161.68636374313,33161.68636374313,10629.30016541688,10629.30016541688,10629.30016541688,0.0,0.0,0.0,695997.252141386
2020-08-27,652301.7895548617,656788.8865547403,736626.7074678366,652301.7895548617,652301.7895548617,43236.590381242684,43236.590381242684,43236.590381242684,31942.90595679598,31942.90595679598,31942.90595679598,11293.684424446701,11293.684424446701,11293.684424446701,0.0,0.0,0.0,695538.3799361044
2020-08-28,652397.3134974972,647981.1175161308,727247.263144351,652397.3134974972,652397.3134974972,35096.86195807491,35096.86195807491,35096.86195807491,23317.67301598539,23317.67301598539,23317.67301598539,11779.188942089528,11779.188942089528,11779.188942089528,0.0,0.0,0.0,687494.1754555721
2020-08-29,652492.8374401331,574512.8855736202,663042.9557711788,652492.8374401331,652492.8374401331,-34899.36603030655,-34899.36603030655,-34899.36603030655,-46963.303127646046,-46963.303127646046,-46963.303127646046,12063.937097339494,12063.937097339494,12063.937097339494,0.0,0.0,0.0,617593.4714098265
2020-08-30,652588.3613827686,535858.0159471992,618356.2481882635,652588.3613827686,652588.3613827686,-74924.33323039555,-74924.33323039555,-74924.33323039555,-87056.15761381538,-87056.15761381538,-87056.15761381538,12131.824383419827,12131.824383419827,12131.824383419827,0.0,0.0,0.0,577664.028152373
2020-08-31,652683.8853254043,632817.1080508069,721105.4483515159,652683.8853254043,652683.8853254043,26593.457714124343,26593.457714124343,26593.457714124343,14620.82956465176,14620.82956465176,14620.82956465176,11972.628149472583,11972.628149472583,11972.628149472583,0.0,0.0,0.0,679277.3430395287
2020-09-01,652779.40926804,654927.0522690364,738463.7647225386,652779.40926804,652779.40926804,42558.32261303025,42558.32261303025,42558.32261303025,30976.36584045496,30976.36584045496,30976.36584045496,11581.95677257528,11581.95677257528,11581.95677257528,0.0,0.0,0.0,695337.7318810702
2020-09-02,652874.9332106756,656027.7796458683,740497.1200549819,652874.9332106756,652874.9332106756,44122.73194768492,44122.73194768492,44122.73194768492,33161.68636378778,33161.68636378778,33161.68636378778,10961.045583897156,10961.045583897156,10961.045583897156,0.0,0.0,0.0,696997.6651583605
2020-09-03,652970.4571533113,652726.2340959369,737949.7432876452,652970.4571533113,652970.4571533113,42059.316990832325,42059.316990832325,42059.316990832325,31942.905956831106,31942.905956831106,31942.905956831106,10116.411034001221,10116.411034001221,10116.411034001221,0.0,0.0,0.0,695029.7741441437
2020-09-04,653065.981095947,643473.5498552435,728248.0800899689,653065.981095947,653065.981095947,32377.051328591922,32377.051328591922,32377.051328591922,23317.6730160161,23317.6730160161,23317.6730160161,9059.378312575824,9059.378312575824,9059.378312575824,0.0,0.0,0.0,685443.0324245389
2020-09-05,653161.5050385826,570456.7952659001,653743.6261833461,653161.5050385826,653161.5050385826,-39157.802292242006,-39157.802292242006,-39157.802292242006,-46963.303127761385,-46963.303127761385,-46963.303127761385,7805.500835519391,7805.500835519391,7805.500835519391,0.0,0.0,0.0,614003.7027463405
2020-09-06,653257.0289812182,529675.9236918543,616315.400828697,653257.0289812182,653257.0289812182,-80682.2650220846,-80682.2650220846,-80682.2650220846,-87056.15761379412,-87056.15761379412,-87056.15761379412,6373.89259170953,6373.89259170953,6373.89259170953,0.0,0.0,0.0,572574.7639591336
2020-09-07,653352.552923854,629629.6034438876,713764.7562762698,653352.552923854,653352.552923854,19407.32580339576,19407.32580339576,19407.32580339576,14620.829564707537,14620.829564707537,14620.829564707537,4786.496238688224,4786.496238688224,4786.496238688224,0.0,0.0,0.0,672759.8787272497
2020-09-08,653448.0768664896,647109.4917378118,733104.0993071599,653448.0768664896,653448.0768664896,34043.676846245806,34043.676846245806,34043.676846245806,30976.365840425493,30976.365840425493,30976.365840425493,3067.311005820315,3067.311005820315,3067.311005820315,0.0,0.0,0.0,687491.7537127354
2020-09-09,653543.6008091252,645074.8476674592,733568.5662468441,653543.6008091252,653543.6008091252,34403.29124913559,34403.29124913559,34403.29124913559,33161.68636380779,33161.68636380779,33161.68636380779,1241.6048853277969,1241.6048853277969,1241.6048853277969,0.0,0.0,0.0,687946.8920582609
2020-09-10,653639.124751761,643032.5844848055,726275.5924416977,653639.124751761,653639.124751761,31278.041222853404,31278.041222853404,31278.041222853404,31942.905956783456,31942.905956783456,31942.905956783456,-664.8647339300558,-664.8647339300558,-664.8647339300558,0.0,0.0,0.0,684917.1659746143
2020-09-11,653734.6486943965,631675.3118743965,720158.7106428647,653734.6486943965,653734.6486943965,20691.074133153405,20691.074133153405,20691.074133153405,23317.67301586467,23317.67301586467,23317.67301586467,-2626.598882711263,-2626.598882711263,-2626.598882711263,0.0,0.0,0.0,674425.7228275499
2020-09-12,653830.1726370322,556509.6894147334,645336.5344482556,653830.1726370322,653830.1726370322,-51582.35502295177,-51582.35502295177,-51582.35502295177,-46963.3031277251,-46963.3031277251,-46963.3031277251,-4619.051895226677,-4619.051895226677,-4619.051895226677,0.0,0.0,0.0,602247.8176140805
2020-09-13,653925.696579668,517416.46858358214,603329.3858959898,653925.696579668,653925.696579668,-93675.41192775154,-93675.41192775154,-93675.41192775154,-87056.15761372728,-87056.15761372728,-87056.15761372728,-6619.254314024264,-6619.254314024264,-6619.254314024264,0.0,0.0,0.0,560250.2846519165
2020-09-14,654021.2205223035,619312.9734380831,701936.553366309,654021.2205223035,654021.2205223035,6014.481931320395,6014.481931320395,6014.481931320395,14620.829564435671,14620.829564435671,14620.829564435671,-8606.347633115276,-8606.347633115276,-8606.347633115276,0.0,0.0,0.0,660035.7024536239
2020-09-15,654116.7444649392,632754.6249520828,716514.2776389944,654116.7444649392,654116.7444649392,20414.347850398244,20414.347850398244,20414.347850398244,30976.365840396018,30976.365840396018,30976.365840396018,-10562.017989997776,-10562.017989997776,-10562.017989997776,0.0,0.0,0.0,674531.0923153375
2020-09-16,654212.2684075749,633073.9468030707,721674.1081463048,654212.2684075749,654212.2684075749,20690.866834279648,20690.866834279648,20690.866834279648,33161.686363852445,33161.686363852445,33161.686363852445,-12470.819529572791,-12470.819529572791,-12470.819529572791,0.0,0.0,0.0,674903.1352418545
2020-09-17,654307.7923502106,627239.4639073842,715979.5787364522,654307.7923502106,654307.7923502106,17622.523980120895,17622.523980120895,17622.523980120895,31942.905956818577,31942.905956818577,31942.905956818577,-14320.381976697681,-14320.381976697681,-14320.381976697681,0.0,0.0,0.0,671930.3163303315
2020-09-18,654403.3162928462,620096.1389171511,700545.7901042118,654403.3162928462,654403.3162928462,7216.172170644158,7216.172170644158,7216.172170644158,23317.673015895387,23317.673015895387,23317.673015895387,-16101.500845251232,-16101.500845251232,-16101.500845251232,0.0,0.0,0.0,661619.4884634904
2020-09-19,654498.8402354819,548391.1492466723,631512.9825398215,654498.8402354819,654498.8402354819,-64771.41568504451,-64771.41568504451,-64771.41568504451,-46963.303127840445,-46963.303127840445,-46963.303127840445,-17808.11255720406,-17808.11255720406,-17808.11255720406,0.0,0.0,0.0,589727.4245504374
2020-09-20,654594.3641781176,508336.0567697919,592329.7131339177,654594.3641781176,654594.3641781176,-106493.3180381256,-106493.3180381256,-106493.3180381256,-87056.1576138803,-87056.1576138803,-87056.1576138803,-19437.160424245296,-19437.160424245296,-19437.160424245296,0.0,0.0,0.0,548101.046139992
2020-09-21,654689.8881207532,604547.5961327679,696135.0604164423,654689.8881207532,654689.8881207532,-6367.5312790998305,-6367.5312790998305,-6367.5312790998305,14620.829564491449,14620.829564491449,14620.829564491449,-20988.360843591276,-20988.360843591276,-20988.360843591276,0.0,0.0,0.0,648322.3568416534
2020-09-22,654785.4120633889,621807.4949120722,707177.6200666042,654785.4120633889,654785.4120633889,8512.483765192772,8512.483765192772,8512.483765192772,30976.365840435046,30976.365840435046,30976.365840435046,-22463.882075242265,-22463.882075242265,-22463.882075242265,0.0,0.0,0.0,663297.8958285816
2020-09-23,654880.9360060245,620401.0871574897,707746.0487034919,654880.9360060245,654880.9360060245,9293.735853606051,9293.735853606051,9293.735853606051,33161.68636376109,33161.68636376109,33161.68636376109,-23867.95051015503,-23867.95051015503,-23867.95051015503,0.0,0.0,0.0,664174.6718596305
2020-09-24,654976.4599486602,619226.3324120524,704670.1297528849,654976.4599486602,654976.4599486602,6736.504622719849,6736.504622719849,6736.504622719849,31942.905956853705,31942.905956853705,31942.905956853705,-25206.40133413385,-25206.40133413385,-25206.40133413385,0.0,0.0,0.0,661712.96457138
2020-09-25,655071.9838912959,609663.153879874,692034.2861332106,655071.9838912959,655071.9838912959,-3168.5188689711945,-3168.5188689711945,-3168.5188689711945,23317.673016053257,23317.673016053257,23317.673016053257,-26486.191885024455,-26486.191885024455,-26486.191885024455,0.0,0.0,0.0,651903.4650223247
2020-09-26,655167.5078339315,536112.0343249207,622110.6728773925,655167.5078339315,655167.5078339315,-74678.19988348628,-74678.19988348628,-74678.19988348628,-46963.30312795581,-46963.30312795581,-46963.30312795581,-27714.896755530473,-27714.896755530473,-27714.896755530473,0.0,0.0,0.0,580489.3079504452
2020-09-27,655263.0317765672,496042.34843032976,583587.9832632642,655263.0317765672,655263.0317765672,-115956.36141015922,-115956.36141015922,-115956.36141015922,-87056.157613859,-87056.157613859,-87056.157613859,-28900.203796300204,-28900.203796300204,-28900.203796300204,0.0,0.0,0.0,539306.670366408
2020-09-28,655358.5557192027,598694.6239853573,678849.8097016189,655358.5557192027,655358.5557192027,-15428.600065471792,-15428.600065471792,-15428.600065471792,14620.829564553516,14620.829564553516,14620.829564553516,-30049.429630025308,-30049.429630025308,-30049.429630025308,0.0,0.0,0.0,639929.9556537309
2020-09-29,655454.0796618385,614810.7882396096,697774.8001004236,655454.0796618385,655454.0796618385,-192.7062842221564,-192.7062842221564,-192.7062842221564,30976.365840405564,30976.365840405564,30976.365840405564,-31169.072124627728,-31169.072124627728,-31169.072124627728,0.0,0.0,0.0,655261.3733776163
2020-09-30,655549.6036044741,614372.2969183031,695182.1516209941,655549.6036044741,655549.6036044741,897.2708246252071,897.2708246252071,897.2708246252071,33161.686363805726,33161.686363805726,33161.686363805726,-32264.415539180518,-32264.415539180518,-32264.415539180518,0.0,0.0,0.0,656446.8744290993
2020-10-01,655645.1275471097,613756.1725103678,695865.4128345994,655645.1275471097,655645.1275471097,-1396.2958583225009,-1396.2958583225009,-1396.2958583225009,31942.90595688883,31942.90595688883,31942.90595688883,-33339.20181521133,-33339.20181521133,-33339.20181521133,0.0,0.0,0.0,654248.8316887872
2020-10-02,655740.6514897455,599176.9637056695,686879.7466343952,655740.6514897455,655740.6514897455,-11077.705803319544,-11077.705803319544,-11077.705803319544,23317.673016083972,23317.673016083972,23317.673016083972,-34395.37881940352,-34395.37881940352,-34395.37881940352,0.0,0.0,0.0,644662.9456864259
2020-10-03,655836.1754323811,531065.283184632,618590.0570039059,655836.1754323811,655836.1754323811,-82396.23647382225,-82396.23647382225,-82396.23647382225,-46963.30312791951,-46963.30312791951,-46963.30312791951,-35432.93334590274,-35432.93334590274,-35432.93334590274,0.0,0.0,0.0,573439.9389585588
2020-10-04,655931.6993750167,487257.93581598223,577291.7665030449,655931.6993750167,655931.6993750167,-123505.9710756908,-123505.9710756908,-123505.9710756908,-87056.15761388332,-87056.15761388332,-87056.15761388332,-36449.8134618075,-36449.8134618075,-36449.8134618075,0.0,0.0,0.0,532425.7282993259
2020-10-05,656027.2233176525,590770.0928860868,676078.2736586167,656027.2233176525,656027.2233176525,-22821.111874184462,-22821.111874184462,-22821.111874184462,14620.829564615573,14620.829564615573,14620.829564615573,-37441.94143880003,-37441.94143880003,-37441.94143880003,0.0,0.0,0.0,633206.111443468
